enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
2,20000001,48,12420,491,020349,43.46,101288,115204,0.8792,126000,32815000,2,1,1,1,55.81,1,60,5,5.220,32815000,58805000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000002,06,41860,001,422400,58.95,128750,154003,0.8360,166600,3965000,7,1,1,4,61.60,2,360,1,3.100,3965000,6005000,47,9,1,9,9,0,1,0,0,0,0,1,0,0
2,20000003,06,20940,025,010900,86.32,61472,60776,1.0115,65300,4425000,1,1,1,1,69.12,1,60,3,5.580,4425000,6405000,36,1,1,9,9,99,1,0,0,0,0,0,0,0
2,20000004,47,34980,165,021105,30.80,96582,96905,0.9967,104700,17055000,1,1,1,1,70.00,1,60,5,5.410,17055000,24365000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000005,34,35620,035,053602,26.40,220016,113844,1.9326,119300,6975000,2,1,1,1,83.05,2,192,2,4.690,6975000,8405000,180,1,9,9,9,100,1,1,0,0,0,0,0,0
2,20000006,37,16740,119,005855,42.32,104929,93744,1.1193,100300,49045000,7,1,1,1,62.47,1,120,5,5.480,49045000,78505000,114,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000007,12,36740,117,021617,31.67,103047,83343,1.2364,90400,33125000,7,1,1,1,60.00,1,60,5,5.740,33125000,55205000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000008,48,99999,503,950200,27.04,84265,88069,0.9568,93500,3305000,7,1,1,1,75.00,2,60,2,6.070,3305000,4405000,57,1,1,9,9,98,1,1,0,0,0,0,0,0
2,20000009,18,18020,005,010400,36.76,130650,90657,1.4412,93600,11955000,7,1,1,1,56.92,1,120,4,5.600,11955000,21005000,114,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000010,13,42340,051,010811,43.40,75800,87035,0.8709,92400,59565000,1,1,1,1,54.70,1,60,5,7.207,59565000,108905000,24,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000011,48,26420,201,553801,39.00,171625,92750,1.8504,95200,9915000,7,1,1,1,47.89,1,60,4,6.390,9915000,20705000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000012,47,32820,157,021312,27.62,109818,78701,1.3954,84000,19295000,7,1,1,1,55.51,1,60,5,5.040,19295000,34755000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000013,13,23580,139,001004,42.63,61818,86127,0.7178,92700,14305000,7,1,1,1,67.14,1,60,4,5.550,14305000,21305000,57,1,1,9,9,100,1,0,0,0,0,0,0,0
2,20000014,45,16700,019,003104,76.43,42500,96573,0.4401,105100,9285000,7,1,1,1,67.28,1,60,3,5.380,9285000,13805000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000015,39,17140,061,027000,89.05,28696,97826,0.2933,103700,4245000,2,3,1,1,71.10,2,181,3,5.250,4275000,5905000,0,1,1,9,9,100,1,0,0,0,0,1,0,0
2,20000016,48,26420,201,543004,53.35,205202,92750,2.2124,95200,37975000,2,3,1,1,62.56,1,60,5,5.350,37975000,60705000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000017,48,12420,491,021406,44.18,121118,115204,1.0513,126000,29095000,7,1,1,1,59.87,1,84,5,5.010,29095000,48605000,78,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000018,18,16980,089,042501,65.41,84698,106055,0.7986,109800,28535000,7,1,1,1,69.27,2,60,5,5.810,28535000,41205000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000019,45,17900,063,020511,59.24,62969,81690,0.7708,86300,4185000,7,1,1,1,67.55,1,60,2,5.580,4185000,6205000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000020,06,23420,019,005203,80.23,53147,76092,0.6985,84300,6565000,7,5,1,1,57.79,2,60,4,6.620,6565000,11365000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000021,17,16980,031,010702,73.47,60479,106055,0.5703,109800,5635000,7,1,1,1,64.02,2,60,2,6.340,5635000,8805000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000022,16,14260,001,002223,15.94,123463,91708,1.3463,98000,12535000,2,1,1,1,64.94,1,60,3,5.670,12535000,19305000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000023,40,36420,109,108323,46.21,154474,84302,1.8324,89100,15135000,1,1,1,1,48.38,1,84,4,5.540,15135000,31295000,60,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000024,36,35620,047,080400,80.13,72100,113844,0.6333,119300,3735000,7,1,1,1,64.38,1,60,1,6.630,3735000,5805000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000025,32,29820,003,003422,73.24,66420,82358,0.8065,87800,44405000,1,3,1,1,55.39,1,84,5,6.646,44405000,80165000,18,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000026,48,26420,201,541301,83.63,86683,92750,0.9346,95200,42375000,1,1,1,1,75.00,1,60,5,5.310,42375000,56505000,57,1,1,9,9,90,1,0,0,0,0,0,0,0
2,20000027,48,26420,201,541403,85.36,48606,92750,0.5241,95200,20005000,7,1,1,1,67.57,1,60,5,5.630,20005000,29605000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000028,48,41700,493,000300,67.57,81250,85469,0.9506,89300,1065000,1,1,1,1,69.35,1,120,1,5.910,1065000,1545000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000029,47,16860,065,010435,23.72,74018,82235,0.9001,92100,3285000,1,3,1,1,71.30,1,84,2,5.750,3285000,4605000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000030,48,19100,113,007910,50.90,123095,99957,1.2315,107300,50475000,7,1,1,1,49.48,1,60,5,4.900,50475000,102005000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000031,41,38900,051,009302,44.72,91829,110489,0.8311,116900,2325000,1,1,1,1,74.28,1,240,2,6.190,2325000,3135000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000032,06,37100,111,005205,45.94,127179,116726,1.0896,125600,85525000,7,1,1,1,53.99,1,60,5,5.580,85525000,158405000,57,1,1,9,9,20,1,0,0,0,0,0,1,0
2,20000033,06,31080,037,702802,59.26,98375,101056,0.9735,105700,2665000,7,1,1,4,61.60,2,360,1,3.690,2665000,3655000,47,9,1,9,9,0,1,0,0,0,0,0,1,0
2,20000034,39,18140,041,011561,46.63,112465,97262,1.1563,103300,26395000,7,1,1,1,65.00,1,120,5,5.510,26395000,40605000,114,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000035,48,19100,113,007915,43.99,82500,99957,0.8254,107300,9115000,2,1,1,1,24.25,1,60,5,6.000,9115000,37605000,24,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000036,45,24860,045,003014,32.84,109211,82045,1.3311,84700,18455000,7,1,1,1,58.76,2,84,4,5.980,18455000,31405000,78,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000037,34,35620,039,031500,79.74,65923,113844,0.5791,119300,11025000,2,1,1,1,66.80,1,60,3,5.460,11025000,16505000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000038,39,18140,049,010204,65.02,61838,97262,0.6358,103300,21565000,7,1,1,1,61.45,1,60,5,5.970,21565000,35105000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000039,06,41740,073,001302,51.34,93438,111734,0.8363,119500,3585000,2,1,1,4,61.60,2,360,1,3.050,3585000,7605000,47,9,1,9,9,0,1,0,0,0,0,0,1,0
2,20000040,06,41860,075,022902,66.62,152422,154003,0.9897,166600,2515000,7,1,1,1,61.34,1,84,1,5.510,2515000,4105000,81,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000041,51,47900,059,430901,64.54,153319,144539,1.0607,152900,48725000,1,3,1,1,69.12,1,84,5,5.550,48725000,70505000,78,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000042,06,40900,067,008008,27.96,128235,106925,1.1993,113700,44495000,7,1,1,1,62.39,1,60,5,5.620,44495000,71315000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000043,48,12420,453,041000,89.87,49091,115204,0.4261,126000,11945000,2,1,1,1,69.83,1,60,4,5.300,11945000,17105000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000044,48,19100,113,007909,52.55,94688,99957,0.9473,107300,31655000,7,1,1,1,50.00,1,60,5,4.900,31655000,63305000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000045,23,38860,005,003002,46.89,70059,104743,0.6689,112500,29345000,2,3,1,1,59.15,1,120,4,6.090,29345000,49605000,114,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000046,34,35620,039,030703,88.30,69397,113844,0.6096,119300,2705000,7,1,1,1,64.48,1,60,1,5.350,2705000,4205000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000047,17,16980,031,243200,41.58,250001,106055,2.3573,109800,2075000,2,1,1,1,61.98,1,60,1,6.460,2075000,3345000,36,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000048,39,17410,035,199300,96.80,37629,90488,0.4159,97200,1975000,7,5,1,1,54.94,1,60,2,6.330,1975000,3605000,60,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000049,48,12420,491,020409,47.02,112117,115204,0.9732,126000,32005000,2,1,1,1,42.55,1,120,5,5.120,32005000,75205000,114,1,9,9,9,0,1,0,0,0,0,0,1,0
2,20000050,53,42660,053,071604,63.66,62417,127870,0.4881,136600,3675000,2,1,1,1,73.70,1,84,1,5.090,3675000,4985000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000051,55,28450,059,002605,21.77,119306,106055,1.1249,109800,52005000,7,1,1,1,63.49,1,60,5,5.880,52005000,81905000,57,1,1,9,9,0,1,1,0,0,0,0,1,0
2,20000052,13,12060,121,010219,65.90,101007,98569,1.0247,106100,33225000,2,3,1,1,50.04,1,84,5,5.939,33225000,66405000,12,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000053,41,21660,039,003802,33.58,152373,84068,1.8125,89100,10445000,1,1,1,1,58.86,1,120,2,6.220,10445000,17755000,114,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000054,40,36420,109,108708,22.43,94807,84302,1.1246,89100,6745000,7,5,1,1,66.73,1,60,3,7.030,6745000,10105000,36,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000055,06,41860,075,061506,61.68,250001,154003,1.6234,166600,22125000,1,3,1,1,49.94,1,84,3,4.600,22125000,44305000,78,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000056,08,17820,041,000400,20.72,91023,98394,0.9251,103700,1355000,1,1,1,1,52.00,1,120,1,6.000,1355000,2605000,84,1,9,9,9,0,1,0,0,0,0,0,0,0
2,20000057,29,28140,095,014205,36.67,84572,99766,0.8477,103000,23885000,2,1,1,1,51.36,1,60,5,6.300,23885000,46505000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000058,53,42660,033,001201,51.10,71202,127870,0.5568,136600,2685000,7,5,1,1,64.14,1,60,1,6.020,2685000,4185000,36,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000059,06,40140,065,050302,61.60,144125,90585,1.5911,97500,60695000,7,1,1,1,52.94,2,60,5,6.250,60695000,114665000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000060,04,38060,013,612200,30.84,147576,93191,1.5836,101300,44165000,7,1,1,1,60.00,1,84,5,5.280,44165000,73605000,78,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000061,48,19100,113,006800,86.61,56726,99957,0.5675,107300,36855000,1,1,1,1,45.55,1,120,5,5.430,36855000,80905000,114,1,1,9,9,90,1,0,0,0,0,0,0,0
2,20000062,06,31080,037,208802,86.68,71532,101056,0.7079,105700,2995000,7,1,1,4,61.60,2,360,2,7.200,3005000,7205000,47,9,1,9,9,0,1,0,0,0,0,1,0,0
2,20000063,12,37860,113,010900,11.57,138816,82863,1.6753,92200,22635000,1,1,1,1,59.73,1,60,4,5.770,22635000,37905000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000064,08,19740,005,005552,52.91,56053,119980,0.4672,130400,1005000,7,3,1,1,56.88,1,60,1,7.290,1005000,1765000,36,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000065,48,19100,113,013628,50.28,92331,99957,0.9237,107300,21635000,1,1,1,1,64.59,1,60,5,4.860,21635000,33505000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000066,06,41860,075,012202,69.48,74069,154003,0.4810,166600,2005000,1,1,1,1,64.10,1,84,1,6.830,2005000,3125000,84,1,9,9,9,0,1,0,0,0,0,1,0,0
2,20000067,48,15180,061,011701,94.83,38148,54380,0.7015,60400,9105000,7,1,1,1,70.00,1,60,4,5.610,9105000,13005000,57,1,1,9,9,0,1,1,0,0,0,1,0,1
2,20000068,29,41180,189,210912,72.37,105375,97901,1.0763,103200,16725000,1,1,1,1,75.00,1,60,5,5.880,16725000,22305000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000069,06,23420,019,004706,80.94,61458,76092,0.8077,84300,33785000,7,1,1,1,70.00,1,60,5,5.670,33785000,48275000,57,1,1,9,9,70,1,0,0,0,0,0,0,0
2,20000070,40,46140,143,007608,66.93,34464,83507,0.4127,85300,17505000,7,1,1,1,70.00,1,60,5,5.710,17505000,25005000,57,1,9,9,9,0,1,0,0,0,0,1,0,0
2,20000071,12,36740,117,022006,39.72,70263,83343,0.8431,90400,30825000,2,1,1,1,68.35,1,84,5,6.010,30825000,45105000,78,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000072,47,99999,045,964300,32.26,54178,66250,0.8178,70300,1695000,1,5,1,1,65.00,1,120,2,5.490,1695000,2605000,84,1,9,9,9,0,1,1,1,0,0,1,0,0
2,20000073,13,12060,067,030275,49.95,000000,98569,9999.0,106100,10075000,1,1,1,1,68.97,1,60,4,5.840,10075000,14605000,57,1,1,9,9,79,1,0,0,0,0,0,0,0
2,20000074,39,17140,061,022302,26.74,123750,97826,1.2650,103700,1955000,7,5,1,1,63.73,1,120,2,6.020,1955000,3065000,84,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000075,17,16980,031,010702,73.47,60479,106055,0.5703,109800,5515000,7,1,1,1,71.60,1,120,2,5.570,5515000,7705000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000076,37,16740,025,041306,63.10,142817,93744,1.5235,100300,40285000,7,1,1,1,61.78,1,60,5,5.660,40285000,65205000,24,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000077,06,41860,075,017102,30.41,246726,154003,1.6021,166600,1375000,2,1,1,1,72.09,1,84,1,5.590,1375000,1915000,81,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000078,29,28140,095,014701,35.05,95833,99766,0.9606,103000,20855000,2,1,1,1,70.44,1,60,5,5.800,20855000,29605000,36,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000079,25,14460,009,211100,13.17,114625,134646,0.8513,142000,44465000,1,1,1,1,62.81,1,84,5,6.490,44465000,70805000,60,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000080,12,33100,099,006801,89.61,62685,80554,0.7782,87600,13395000,7,1,1,1,61.71,1,60,5,6.800,13395000,21705000,24,1,1,9,9,100,1,0,0,0,0,0,0,0
2,20000081,06,31080,037,573102,85.67,109737,101056,1.0859,105700,1425000,7,1,1,1,60.60,1,84,1,6.370,1425000,2355000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000082,06,41860,081,603200,39.86,163929,154003,1.0645,166600,2545000,1,1,1,4,61.60,2,360,1,3.800,2835000,3805000,59,9,9,9,9,0,1,1,0,0,0,0,1,0
2,20000083,17,16980,031,222600,49.47,117083,106055,1.1040,109800,6085000,7,1,1,1,69.98,1,120,2,5.510,6085000,8705000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000084,12,36740,095,014813,47.41,92532,83343,1.1103,90400,34925000,7,1,1,1,59.91,1,60,5,5.650,34925000,58305000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000085,39,18140,049,006372,41.88,83486,97262,0.8584,103300,3255000,7,3,1,1,65.00,1,120,2,5.490,3255000,5005000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000086,06,31080,037,208720,90.10,38993,101056,0.3859,105700,1385000,7,5,1,1,62.67,1,60,1,6.730,1385000,2215000,36,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000087,09,14860,190,210502,33.59,144030,135149,1.0657,145700,30235000,7,3,1,1,62.34,1,60,4,5.420,30235000,48505000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000088,06,31080,059,076205,54.64,111806,101056,1.1064,105700,6495000,1,1,1,1,43.29,1,84,2,5.430,6495000,15005000,78,1,1,9,9,0,1,0,0,0,0,0,0,0
