enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
1,10000001,06,41740,073,015706,51.96,34307,111734,0.3070,119500,27735000,7,1,1,1,53.80,1,60,5,5.830,27735000,51565000,57,1,1,9,9,60,1,0,0,0,0,1,0,0
1,10000002,36,10580,093,033500,26.48,97679,109385,0.8930,117800,645000,7,1,1,1,70.40,1,120,1,5.700,6905000,925000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10000003,28,99999,087,000600,81.47,20208,75009,0.2694,79600,2415000,1,5,1,1,80.00,1,60,3,6.140,2415000,3015000,57,1,9,9,9,100,1,1,0,0,1,1,0,0
1,10000004,18,23060,003,011608,26.14,122100,83564,1.4612,88000,1995000,9,1,1,2,66.70,1,65,3,7.780,1995000,20355000,62,1,9,9,9,0,1,0,0,0,0,0,0,0
1,10000005,13,99999,137,000604,61.39,46755,74176,0.6303,78800,4195000,1,1,1,1,78.00,1,84,2,6.190,4195000,5375000,81,1,1,9,9,0,1,1,0,0,0,0,0,0
1,10000006,51,40060,087,200144,57.20,126563,104391,1.2124,110000,10865000,9,1,1,2,71.50,1,87,5,8.010,10865000,89905000,84,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10000007,48,19100,113,008200,45.91,99875,99957,0.9992,107300,25705000,2,1,1,1,64.00,1,84,5,5.480,210705000,41705000,81,1,1,9,9,50,1,0,0,0,0,0,0,0
1,10000008,13,12060,121,010604,97.87,44107,98569,0.4475,106100,18005000,7,1,1,1,61.00,2,60,5,6.190,18005000,29505000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10000009,13,12060,121,005504,87.37,51420,98569,0.5217,106100,54725000,7,1,1,1,60.50,1,60,5,5.260,54725000,90405000,57,1,1,9,9,15,1,0,0,0,0,1,0,0
1,10000010,18,34620,035,002000,19.47,47386,68452,0.6923,73400,7985000,1,1,1,1,74.80,2,84,4,5.970,10495000,10665000,81,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10000011,17,16980,031,063301,27.46,133036,106055,1.2544,109800,11575000,7,1,1,1,55.40,1,60,4,5.590,11575000,20905000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10000012,26,19820,125,193100,22.86,127232,93779,1.3567,97300,20995000,1,3,1,1,85.00,1,204,4,5.050,20995000,24705000,180,1,9,9,9,100,1,0,0,0,0,0,0,0
