state_fips,state_name,county_fips,county_name
01,AL,001,Autauga County
01,AL,003,Baldwin County
01,AL,005,Barbour County
01,AL,007,Bibb County
01,AL,009,Blount County
01,AL,011,Bullock County
01,AL,013,Butler County
01,AL,015,Calhoun County
01,AL,017,Chambers County
01,AL,019,Cherokee County
01,AL,021,Chilton County
01,AL,023,Choctaw County
01,AL,025,Clarke County
01,AL,027,Clay County
01,AL,029,Cleburne County
01,AL,031,Coffee County
01,AL,033,Colbert County
01,AL,035,Conecuh County
01,AL,037,Coosa County
01,AL,039,Covington County
01,AL,041,Crenshaw County
01,AL,043,Cullman County
01,AL,045,Dale County
01,AL,047,Dallas County
01,AL,049,DeKalb County
01,AL,051,Elmore County
01,AL,053,Escambia County
01,AL,055,Etowah County
01,AL,057,Fayette County
01,AL,059,Franklin County
01,AL,061,Geneva County
01,AL,063,Greene County
01,AL,065,Hale County
01,AL,067,Henry County
01,AL,069,Houston County
01,AL,071,Jackson County
01,AL,073,Jefferson County
01,AL,075,Lamar County
01,AL,077,Lauderdale County
01,AL,079,Lawrence County
01,AL,081,Lee County
01,AL,083,Limestone County
01,AL,085,Lowndes County
01,AL,087,Macon County
01,AL,089,Madison County
01,AL,091,Marengo County
01,AL,093,Marion County
01,AL,095,Marshall County
01,AL,097,Mobile County
01,AL,099,Monroe County
01,AL,101,Montgomery County
01,AL,103,Morgan County
01,AL,105,Perry County
01,AL,107,Pickens County
01,AL,109,Pike County
01,AL,111,Randolph County
01,AL,113,Russell County
01,AL,115,St. Clair County
01,AL,117,Shelby County
01,AL,119,Sumter County
01,AL,121,Talladega County
01,AL,123,Tallapoosa County
01,AL,125,Tuscaloosa County
01,AL,127,Walker County
01,AL,129,Washington County
01,AL,131,Wilcox County
01,AL,133,Winston County
02,AK,013,Aleutians East Borough
02,AK,016,Aleutians West Census Area
02,AK,020,Anchorage Municipality
02,AK,050,Bethel Census Area
02,AK,060,Bristol Bay Borough
02,AK,063,Chugach Census Area
02,AK,066,Copper River Census Area
02,AK,068,Denali Borough
02,AK,070,Dillingham Census Area
02,AK,090,Fairbanks North Star Borough
02,AK,100,Haines Borough
02,AK,105,Hoonah-Angoon Census Area
02,AK,110,Juneau City and Borough
02,AK,122,Kenai Peninsula Borough
02,AK,130,Ketchikan Gateway Borough
02,AK,150,Kodiak Island Borough
02,AK,158,Kusilvak Census Area
02,AK,164,Lake and Peninsula Borough
02,AK,170,Matanuska-Susitna Borough
02,AK,180,Nome Census Area
02,AK,185,North Slope Borough
02,AK,188,Northwest Arctic Borough
02,AK,195,Petersburg Borough
02,AK,198,Prince of Wales-Hyder Census Area
02,AK,220,Sitka City and Borough
02,AK,230,Skagway Municipality
02,AK,240,Southeast Fairbanks Census Area
02,AK,275,Wrangell City and Borough
02,AK,282,Yakutat City and Borough
02,AK,290,Yukon-Koyukuk Census Area
04,AZ,001,Apache County
04,AZ,003,Cochise County
04,AZ,005,Coconino County
04,AZ,007,Gila County
04,AZ,009,Graham County
04,AZ,011,Greenlee County
04,AZ,012,La Paz County
04,AZ,013,Maricopa County
04,AZ,015,Mohave County
04,AZ,017,Navajo County
04,AZ,019,Pima County
04,AZ,021,Pinal County
04,AZ,023,Santa Cruz County
04,AZ,025,Yavapai County
04,AZ,027,Yuma County
05,AR,001,Arkansas County
05,AR,003,Ashley County
05,AR,005,Baxter County
05,AR,007,Benton County
05,AR,009,Boone County
05,AR,011,Bradley County
05,AR,013,Calhoun County
05,AR,015,Carroll County
05,AR,017,Chicot County
05,AR,019,Clark County
05,AR,021,Clay County
05,AR,023,Cleburne County
05,AR,025,Cleveland County
05,AR,027,Columbia County
05,AR,029,Conway County
05,AR,031,Craighead County
05,AR,033,Crawford County
05,AR,035,Crittenden County
05,AR,037,Cross County
05,AR,039,Dallas County
05,AR,041,Desha County
05,AR,043,Drew County
05,AR,045,Faulkner County
05,AR,047,Franklin County
05,AR,049,Fulton County
05,AR,051,Garland County
05,AR,053,Grant County
05,AR,055,Greene County
05,AR,057,Hempstead County
05,AR,059,Hot Spring County
05,AR,061,Howard County
05,AR,063,Independence County
05,AR,065,Izard County
05,AR,067,Jackson County
05,AR,069,Jefferson County
05,AR,071,Johnson County
05,AR,073,Lafayette County
05,AR,075,Lawrence County
05,AR,077,Lee County
05,AR,079,Lincoln County
05,AR,081,Little River County
05,AR,083,Logan County
05,AR,085,Lonoke County
05,AR,087,Madison County
05,AR,089,Marion County
05,AR,091,Miller County
05,AR,093,Mississippi County
05,AR,095,Monroe County
05,AR,097,Montgomery County
05,AR,099,Nevada County
05,AR,101,Newton County
05,AR,103,Ouachita County
05,AR,105,Perry County
05,AR,107,Phillips County
05,AR,109,Pike County
05,AR,111,Poinsett County
05,AR,113,Polk County
05,AR,115,Pope County
05,AR,117,Prairie County
05,AR,119,Pulaski County
05,AR,121,Randolph County
05,AR,123,St. Francis County
05,AR,125,Saline County
05,AR,127,Scott County
05,AR,129,Searcy County
05,AR,131,Sebastian County
05,AR,133,Sevier County
05,AR,135,Sharp County
05,AR,137,Stone County
05,AR,139,Union County
05,AR,141,Van Buren County
05,AR,143,Washington County
05,AR,145,White County
05,AR,147,Woodruff County
05,AR,149,Yell County
06,CA,001,Alameda County
06,CA,003,Alpine County
06,CA,005,Amador County
06,CA,007,Butte County
06,CA,009,Calaveras County
06,CA,011,Colusa County
06,CA,013,Contra Costa County
06,CA,015,Del Norte County
06,CA,017,El Dorado County
06,CA,019,Fresno County
06,CA,021,Glenn County
06,CA,023,Humboldt County
06,CA,025,Imperial County
06,CA,027,Inyo County
06,CA,029,Kern County
06,CA,031,Kings County
06,CA,033,Lake County
06,CA,035,Lassen County
06,CA,037,Los Angeles County
06,CA,039,Madera County
06,CA,041,Marin County
06,CA,043,Mariposa County
06,CA,045,Mendocino County
06,CA,047,Merced County
06,CA,049,Modoc County
06,CA,051,Mono County
06,CA,053,Monterey County
06,CA,055,Napa County
06,CA,057,Nevada County
06,CA,059,Orange County
06,CA,061,Placer County
06,CA,063,Plumas County
06,CA,065,Riverside County
06,CA,067,Sacramento County
06,CA,069,San Benito County
06,CA,071,San Bernardino County
06,CA,073,San Diego County
06,CA,075,San Francisco County
06,CA,077,San Joaquin County
06,CA,079,San Luis Obispo County
06,CA,081,San Mateo County
06,CA,083,Santa Barbara County
06,CA,085,Santa Clara County
06,CA,087,Santa Cruz County
06,CA,089,Shasta County
06,CA,091,Sierra County
06,CA,093,Siskiyou County
06,CA,095,Solano County
06,CA,097,Sonoma County
06,CA,099,Stanislaus County
06,CA,101,Sutter County
06,CA,103,Tehama County
06,CA,105,Trinity County
06,CA,107,Tulare County
06,CA,109,Tuolumne County
06,CA,111,Ventura County
06,CA,113,Yolo County
06,CA,115,Yuba County
08,CO,001,Adams County
08,CO,003,Alamosa County
08,CO,005,Arapahoe County
08,CO,007,Archuleta County
08,CO,009,Baca County
08,CO,011,Bent County
08,CO,013,Boulder County
08,CO,014,Broomfield County
08,CO,015,Chaffee County
08,CO,017,Cheyenne County
08,CO,019,Clear Creek County
08,CO,021,Conejos County
08,CO,023,Costilla County
08,CO,025,Crowley County
08,CO,027,Custer County
08,CO,029,Delta County
08,CO,031,Denver County
08,CO,033,Dolores County
08,CO,035,Douglas County
08,CO,037,Eagle County
08,CO,039,Elbert County
08,CO,041,El Paso County
08,CO,043,Fremont County
08,CO,045,Garfield County
08,CO,047,Gilpin County
08,CO,049,Grand County
08,CO,051,Gunnison County
08,CO,053,Hinsdale County
08,CO,055,Huerfano County
08,CO,057,Jackson County
08,CO,059,Jefferson County
08,CO,061,Kiowa County
08,CO,063,Kit Carson County
08,CO,065,Lake County
08,CO,067,La Plata County
08,CO,069,Larimer County
08,CO,071,Las Animas County
08,CO,073,Lincoln County
08,CO,075,Logan County
08,CO,077,Mesa County
08,CO,079,Mineral County
08,CO,081,Moffat County
08,CO,083,Montezuma County
08,CO,085,Montrose County
08,CO,087,Morgan County
08,CO,089,Otero County
08,CO,091,Ouray County
08,CO,093,Park County
08,CO,095,Phillips County
08,CO,097,Pitkin County
08,CO,099,Prowers County
08,CO,101,Pueblo County
08,CO,103,Rio Blanco County
08,CO,105,Rio Grande County
08,CO,107,Routt County
08,CO,109,Saguache County
08,CO,111,San Juan County
08,CO,113,San Miguel County
08,CO,115,Sedgwick County
08,CO,117,Summit County
08,CO,119,Teller County
08,CO,121,Washington County
08,CO,123,Weld County
08,CO,125,Yuma County
09,CT,110,Capitol Planning Region
09,CT,120,Greater Bridgeport Planning Region
09,CT,130,Lower Connecticut River Valley Planning Region
09,CT,140,Naugatuck Valley Planning Region
09,CT,150,Northeastern Connecticut Planning Region
09,CT,160,Northwest Hills Planning Region
09,CT,170,South Central Connecticut Planning Region
09,CT,180,Southeastern Connecticut Planning Region
09,CT,190,Western Connecticut Planning Region
10,DE,001,Kent County
10,DE,003,New Castle County
10,DE,005,Sussex County
11,DC,001,District of Columbia
12,FL,001,Alachua County
12,FL,003,Baker County
12,FL,005,Bay County
12,FL,007,Bradford County
12,FL,009,Brevard County
12,FL,011,Broward County
12,FL,013,Calhoun County
12,FL,015,Charlotte County
12,FL,017,Citrus County
12,FL,019,Clay County
12,FL,021,Collier County
12,FL,023,Columbia County
12,FL,027,DeSoto County
12,FL,029,Dixie County
12,FL,031,Duval County
12,FL,033,Escambia County
12,FL,035,Flagler County
12,FL,037,Franklin County
12,FL,039,Gadsden County
12,FL,041,Gilchrist County
12,FL,043,Glades County
12,FL,045,Gulf County
12,FL,047,Hamilton County
12,FL,049,Hardee County
12,FL,051,Hendry County
12,FL,053,Hernando County
12,FL,055,Highlands County
12,FL,057,Hillsborough County
12,FL,059,Holmes County
12,FL,061,Indian River County
12,FL,063,Jackson County
12,FL,065,Jefferson County
12,FL,067,Lafayette County
12,FL,069,Lake County
12,FL,071,Lee County
12,FL,073,Leon County
12,FL,075,Levy County
12,FL,077,Liberty County
12,FL,079,Madison County
12,FL,081,Manatee County
12,FL,083,Marion County
12,FL,085,Martin County
12,FL,086,Miami-Dade County
12,FL,087,Monroe County
12,FL,089,Nassau County
12,FL,091,Okaloosa County
12,FL,093,Okeechobee County
12,FL,095,Orange County
12,FL,097,Osceola County
12,FL,099,Palm Beach County
12,FL,101,Pasco County
12,FL,103,Pinellas County
12,FL,105,Polk County
12,FL,107,Putnam County
12,FL,109,St. Johns County
12,FL,111,St. Lucie County
12,FL,113,Santa Rosa County
12,FL,115,Sarasota County
12,FL,117,Seminole County
12,FL,119,Sumter County
12,FL,121,Suwannee County
12,FL,123,Taylor County
12,FL,125,Union County
12,FL,127,Volusia County
12,FL,129,Wakulla County
12,FL,131,Walton County
12,FL,133,Washington County
13,GA,001,Appling County
13,GA,003,Atkinson County
13,GA,005,Bacon County
13,GA,007,Baker County
13,GA,009,Baldwin County
13,GA,011,Banks County
13,GA,013,Barrow County
13,GA,015,Bartow County
13,GA,017,Ben Hill County
13,GA,019,Berrien County
13,GA,021,Bibb County
13,GA,023,Bleckley County
13,GA,025,Brantley County
13,GA,027,Brooks County
13,GA,029,Bryan County
13,GA,031,Bulloch County
13,GA,033,Burke County
13,GA,035,Butts County
13,GA,037,Calhoun County
13,GA,039,Camden County
13,GA,043,Candler County
13,GA,045,Carroll County
13,GA,047,Catoosa County
13,GA,049,Charlton County
13,GA,051,Chatham County
13,GA,053,Chattahoochee County
13,GA,055,Chattooga County
13,GA,057,Cherokee County
13,GA,059,Clarke County
13,GA,061,Clay County
13,GA,063,Clayton County
13,GA,065,Clinch County
13,GA,067,Cobb County
13,GA,069,Coffee County
13,GA,071,Colquitt County
13,GA,073,Columbia County
13,GA,075,Cook County
13,GA,077,Coweta County
13,GA,079,Crawford County
13,GA,081,Crisp County
13,GA,083,Dade County
13,GA,085,Dawson County
13,GA,087,Decatur County
13,GA,089,DeKalb County
13,GA,091,Dodge County
13,GA,093,Dooly County
13,GA,095,Dougherty County
13,GA,097,Douglas County
13,GA,099,Early County
13,GA,101,Echols County
13,GA,103,Effingham County
13,GA,105,Elbert County
13,GA,107,Emanuel County
13,GA,109,Evans County
13,GA,111,Fannin County
13,GA,113,Fayette County
13,GA,115,Floyd County
13,GA,117,Forsyth County
13,GA,119,Franklin County
13,GA,121,Fulton County
13,GA,123,Gilmer County
13,GA,125,Glascock County
13,GA,127,Glynn County
13,GA,129,Gordon County
13,GA,131,Grady County
13,GA,133,Greene County
13,GA,135,Gwinnett County
13,GA,137,Habersham County
13,GA,139,Hall County
13,GA,141,Hancock County
13,GA,143,Haralson County
13,GA,145,Harris County
13,GA,147,Hart County
13,GA,149,Heard County
13,GA,151,Henry County
13,GA,153,Houston County
13,GA,155,Irwin County
13,GA,157,Jackson County
13,GA,159,Jasper County
13,GA,161,Jeff Davis County
13,GA,163,Jefferson County
13,GA,165,Jenkins County
13,GA,167,Johnson County
13,GA,169,Jones County
13,GA,171,Lamar County
13,GA,173,Lanier County
13,GA,175,Laurens County
13,GA,177,Lee County
13,GA,179,Liberty County
13,GA,181,Lincoln County
13,GA,183,Long County
13,GA,185,Lowndes County
13,GA,187,Lumpkin County
13,GA,189,McDuffie County
13,GA,191,McIntosh County
13,GA,193,Macon County
13,GA,195,Madison County
13,GA,197,Marion County
13,GA,199,Meriwether County
13,GA,201,Miller County
13,GA,205,Mitchell County
13,GA,207,Monroe County
13,GA,209,Montgomery County
13,GA,211,Morgan County
13,GA,213,Murray County
13,GA,215,Muscogee County
13,GA,217,Newton County
13,GA,219,Oconee County
13,GA,221,Oglethorpe County
13,GA,223,Paulding County
13,GA,225,Peach County
13,GA,227,Pickens County
13,GA,229,Pierce County
13,GA,231,Pike County
13,GA,233,Polk County
13,GA,235,Pulaski County
13,GA,237,Putnam County
13,GA,239,Quitman County
13,GA,241,Rabun County
13,GA,243,Randolph County
13,GA,245,Richmond County
13,GA,247,Rockdale County
13,GA,249,Schley County
13,GA,251,Screven County
13,GA,253,Seminole County
13,GA,255,Spalding County
13,GA,257,Stephens County
13,GA,259,Stewart County
13,GA,261,Sumter County
13,GA,263,Talbot County
13,GA,265,Taliaferro County
13,GA,267,Tattnall County
13,GA,269,Taylor County
13,GA,271,Telfair County
13,GA,273,Terrell County
13,GA,275,Thomas County
13,GA,277,Tift County
13,GA,279,Toombs County
13,GA,281,Towns County
13,GA,283,Treutlen County
13,GA,285,Troup County
13,GA,287,Turner County
13,GA,289,Twiggs County
13,GA,291,Union County
13,GA,293,Upson County
13,GA,295,Walker County
13,GA,297,Walton County
13,GA,299,Ware County
13,GA,301,Warren County
13,GA,303,Washington County
13,GA,305,Wayne County
13,GA,307,Webster County
13,GA,309,Wheeler County
13,GA,311,White County
13,GA,313,Whitfield County
13,GA,315,Wilcox County
13,GA,317,Wilkes County
13,GA,319,Wilkinson County
13,GA,321,Worth County
15,HI,001,Hawaii County
15,HI,003,Honolulu County
15,HI,005,Kalawao County
15,HI,007,Kauai County
15,HI,009,Maui County
16,ID,001,Ada County
16,ID,003,Adams County
16,ID,005,Bannock County
16,ID,007,Bear Lake County
16,ID,009,Benewah County
16,ID,011,Bingham County
16,ID,013,Blaine County
16,ID,015,Boise County
16,ID,017,Bonner County
16,ID,019,Bonneville County
16,ID,021,Boundary County
16,ID,023,Butte County
16,ID,025,Camas County
16,ID,027,Canyon County
16,ID,029,Caribou County
16,ID,031,Cassia County
16,ID,033,Clark County
16,ID,035,Clearwater County
16,ID,037,Custer County
16,ID,039,Elmore County
16,ID,041,Franklin County
16,ID,043,Fremont County
16,ID,045,Gem County
16,ID,047,Gooding County
16,ID,049,Idaho County
16,ID,051,Jefferson County
16,ID,053,Jerome County
16,ID,055,Kootenai County
16,ID,057,Latah County
16,ID,059,Lemhi County
16,ID,061,Lewis County
16,ID,063,Lincoln County
16,ID,065,Madison County
16,ID,067,Minidoka County
16,ID,069,Nez Perce County
16,ID,071,Oneida County
16,ID,073,Owyhee County
16,ID,075,Payette County
16,ID,077,Power County
16,ID,079,Shoshone County
16,ID,081,Teton County
16,ID,083,Twin Falls County
16,ID,085,Valley County
16,ID,087,Washington County
17,IL,001,Adams County
17,IL,003,Alexander County
17,IL,005,Bond County
17,IL,007,Boone County
17,IL,009,Brown County
17,IL,011,Bureau County
17,IL,013,Calhoun County
17,IL,015,Carroll County
17,IL,017,Cass County
17,IL,019,Champaign County
17,IL,021,Christian County
17,IL,023,Clark County
17,IL,025,Clay County
17,IL,027,Clinton County
17,IL,029,Coles County
17,IL,031,Cook County
17,IL,033,Crawford County
17,IL,035,Cumberland County
17,IL,037,DeKalb County
17,IL,039,De Witt County
17,IL,041,Douglas County
17,IL,043,DuPage County
17,IL,045,Edgar County
17,IL,047,Edwards County
17,IL,049,Effingham County
17,IL,051,Fayette County
17,IL,053,Ford County
17,IL,055,Franklin County
17,IL,057,Fulton County
17,IL,059,Gallatin County
17,IL,061,Greene County
17,IL,063,Grundy County
17,IL,065,Hamilton County
17,IL,067,Hancock County
17,IL,069,Hardin County
17,IL,071,Henderson County
17,IL,073,Henry County
17,IL,075,Iroquois County
17,IL,077,Jackson County
17,IL,079,Jasper County
17,IL,081,Jefferson County
17,IL,083,Jersey County
17,IL,085,Jo Daviess County
17,IL,087,Johnson County
17,IL,089,Kane County
17,IL,091,Kankakee County
17,IL,093,Kendall County
17,IL,095,Knox County
17,IL,097,Lake County
17,IL,099,LaSalle County
17,IL,101,Lawrence County
17,IL,103,Lee County
17,IL,105,Livingston County
17,IL,107,Logan County
17,IL,109,McDonough County
17,IL,111,McHenry County
17,IL,113,McLean County
17,IL,115,Macon County
17,IL,117,Macoupin County
17,IL,119,Madison County
17,IL,121,Marion County
17,IL,123,Marshall County
17,IL,125,Mason County
17,IL,127,Massac County
17,IL,129,Menard County
17,IL,131,Mercer County
17,IL,133,Monroe County
17,IL,135,Montgomery County
17,IL,137,Morgan County
17,IL,139,Moultrie County
17,IL,141,Ogle County
17,IL,143,Peoria County
17,IL,145,Perry County
17,IL,147,Piatt County
17,IL,149,Pike County
17,IL,151,Pope County
17,IL,153,Pulaski County
17,IL,155,Putnam County
17,IL,157,Randolph County
17,IL,159,Richland County
17,IL,161,Rock Island County
17,IL,163,St. Clair County
17,IL,165,Saline County
17,IL,167,Sangamon County
17,IL,169,Schuyler County
17,IL,171,Scott County
17,IL,173,Shelby County
17,IL,175,Stark County
17,IL,177,Stephenson County
17,IL,179,Tazewell County
17,IL,181,Union County
17,IL,183,Vermilion County
17,IL,185,Wabash County
17,IL,187,Warren County
17,IL,189,Washington County
17,IL,191,Wayne County
17,IL,193,White County
17,IL,195,Whiteside County
17,IL,197,Will County
17,IL,199,Williamson County
17,IL,201,Winnebago County
17,IL,203,Woodford County
18,IN,001,Adams County
18,IN,003,Allen County
18,IN,005,Bartholomew County
18,IN,007,Benton County
18,IN,009,Blackford County
18,IN,011,Boone County
18,IN,013,Brown County
18,IN,015,Carroll County
18,IN,017,Cass County
18,IN,019,Clark County
18,IN,021,Clay County
18,IN,023,Clinton County
18,IN,025,Crawford County
18,IN,027,Daviess County
18,IN,029,Dearborn County
18,IN,031,Decatur County
18,IN,033,DeKalb County
18,IN,035,Delaware County
18,IN,037,Dubois County
